time,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18
2002-10-18,1.893962528529793,1.5839967142520643,1.966196881041038,1.951728969871858,1.7318520027134572,1.5263251245256846,1.8265333878195664,2.0671008735296184,1.7000072589318007,1.4433995434841709,1.574415520128647,1.7138984087345681,1.0420252612430903,1.1929561554582282,0.9889757242895265,1.214780654995997,1.319982307509722,1.5327219946837367
2002-11-17,1.928023579120022,1.6123169894445573,2.0097957744777646,1.9879318900790663,1.768280421709494,1.5601539539724238,1.8601440467915202,2.114049721139809,1.7297074147372877,1.4691985273203816,1.6035425522619091,1.7429991419392925,1.0592313674557667,1.211693936238406,1.0054373916929003,1.2334805244331464,1.3432293722037612,1.560254117930351
2002-12-18,1.9816736384050027,1.6569612061311787,2.0781774801102575,2.044951616336903,1.8254964029608898,1.6132182003913633,1.9130965958215125,2.1876445229900954,1.7765469208885465,1.5098668183750625,1.6493794552466476,1.788915479496117,1.0863941368471186,1.241302466108185,1.0314263450112588,1.26304713512465,1.3798872722981317,1.6036450734219418
2003-01-18,2.1692961676845584,1.8133619694892757,2.3148811490863,2.244287049933046,2.024197678395333,1.7969436608385982,2.098337071224121,2.442058347599325,1.9408095311683793,1.6523282673935373,1.8093393261949595,1.9501344227201087,1.18188879360015,1.3456359225890087,1.122801230524694,1.3673821031004114,1.5084041743151837,1.7555716797025627
2003-02-16,1.9771846918577964,1.6532242065018419,2.072469000563709,2.0401809761362273,1.8207164558264286,1.6087881547506444,1.9086655537499897,2.1815026879315935,1.7726252571441736,1.5064626879578098,1.6455460899072059,1.7850700998363422,1.084118677778291,1.238820864841888,1.029249163400865,1.2605682439987451,1.3768182763372268,1.6000134519942462
2003-03-18,1.950903104072495,1.6313507282271842,2.0390000340800603,2.012249176919996,1.7927044289445064,1.582815614597779,1.8827245589691781,2.1454863176624346,1.749674179509355,1.4865373523064447,1.6230960811306514,1.7625691305726738,1.0708063246831547,1.224307060301311,1.01651196202732,1.246073191772151,1.358856585136925,1.5787550780245512
2003-04-17,1.9656168533947431,1.6435953873241658,2.0577476853386196,2.0278869934833352,1.8083926259426122,1.5973639401590027,1.897247281546519,2.1656623053980764,1.7625213776594975,1.497691496893378,1.6356661393213368,1.7751635981194729,1.0782571528043383,1.2324293650765876,1.0236408405289275,1.2541843855365273,1.3689110612484754,1.5906557670254957
2003-05-13,1.9962547502191386,1.6691016881276894,2.0967040163236477,2.0604473640037266,1.8410137492273277,1.6275959580678214,1.92749010225103,2.2075752745775774,1.7892884313197306,1.5209258289963923,1.6618288595047175,1.8014103828225996,1.093788639716669,1.2493684065040571,1.0385015360934808,1.2711052403764913,1.3898582056117434,1.6154426484004378
2003-07-18,1.8865929714860887,1.5778718484271603,1.9567437786864408,1.9438958378348743,1.7239592043113705,1.5189908166340904,1.8192622284289846,2.05691859960574,1.6935853212159184,1.4378198670170006,1.5681106443990178,1.7076075679293556,1.038306701493106,1.188908439481933,0.9854181622144845,1.2107423579587582,1.3149553864313837,1.5267668235112437
2003-08-18,1.9046462022797144,1.592877634058645,1.9798883420597708,1.9630846115795189,1.7432871805563297,1.5369481091119526,1.8370750436699135,2.0818466197070813,1.7093197929943789,1.45148989046341,1.5835538888865022,1.7230217845910696,1.0474187680074318,1.198828271381132,0.9941357885004707,1.2206398945558303,1.3272717138136052,1.5413563710183784
2003-09-17,2.145449482703456,1.7934643557994414,2.284984672790791,2.218959388609488,1.999052139183852,1.7737356116109337,2.074791200346828,2.40995059638219,1.9198982832882294,1.6342048056077902,1.7890342068487168,1.9295951880045321,1.1697132096176805,1.3323143781106666,1.1111506806868607,1.3540489771051385,1.492046630536223,1.7362493375276835
