time,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18
2002-10-01,13.385456127707434,9.68749951774659,2.7449451865116288,3.713550746615798,9.17255732835481,8.252143595258897,1.8942883487367546,2.4026639256483984,-0.6106591180569407,0.3194171336022027,1.376755205390169,1.5152271761838347,3.154978962904779,2.684232965741719,2.0659710527233495,6.2149540723646,3.715506709273214,0.6363977836377259
2002-11-01,12.021761792511949,6.751781943524622,1.9117167985815178,3.2205906494349645,5.5910789693651886,2.46051961880321,3.601988354006279,2.2501224588838116,1.0260517216902367,0.17015944715512044,0.6019055253819195,1.421114331453567,3.922125991506299,3.6581130920492644,1.0728935243215414,4.493838664751606,2.156902562796798,0.005541362103971714
2002-12-01,4.894861918607038,3.145673056096318,-0.8287006372797299,3.626654988426183,2.759894112250523,-0.43663576492972433,2.1062273652503047,-2.510981694497227,-0.26839758163362015,-0.6846238067061732,-2.3572248081076124,-1.0241917655182284,3.0598945158356177,3.202082290262637,0.05411979315817583,1.855162931107838,3.2636324500471385,1.7642431508232463
2003-01-01,3.812890537254023,2.594933814482774,-4.354556470076748,4.108948515742723,1.8257995742631434,-5.29186463663571,3.216584971881849,-7.602845859029026,-0.3155326560501637,-1.8777924717527368,-3.21856151185232,-1.8566818989305744,2.2689817635967278,1.414344603723525,0.10055968751619271,-1.5686751150972464,3.057447603811273,0.7839126656297859
2003-02-01,4.474376351539708,2.835736119611674,-3.948941538704571,4.799484142254473,-1.4538642046869534,-6.620534915293774,2.9190576800095145,-8.808520520237192,-1.7963502703573386,-3.1254257730387294,-4.153323870578124,-2.860993994525203,1.0789677600961598,1.078395454046703,0.7429985283900915,-0.757637567393471,2.365561864558029,-1.1164478540594187
2003-03-01,1.5849545258531856,1.0350145502541053,-8.750475577675717,5.45830353131724,-2.7439717600141726,-15.181210668103589,3.8686300516633274,-8.48473853906043,-1.8671640878826377,-4.103250576400193,-4.849043277592505,-5.061009631699937,0.026007184515163262,1.2189546443872654,3.1184087271895766,-1.1428628132287768,1.8710545869010726,0.17490094734125705
2003-04-01,-1.8310715182461523,-3.023409773478286,-10.402168588411852,4.923190339552551,-3.147787915567888,-13.552653111869121,3.5899347735969735,-11.726543766323474,-1.5188431847262176,-3.2282230719882152,-3.6414458370431495,-2.8489226162736583,0.5028910611734762,1.748241688747198,3.634607456037024,-0.9034102242620268,1.936437643279028,3.3506118207754794
2003-05-01,0.11691178816049064,-3.5058689320532896,-8.57639590622317,2.9278266033385414,-4.615274465948176,-11.86352063642758,5.216032622924207,-6.153684116225204,-0.8708419525313396,-1.654979149771588,-3.4813849093207976,-4.830448540384308,-0.6790957025608846,3.0454114828642194,3.7518812296978843,-0.4421654387991003,0.4580736686272129,-1.0059934509972024
2003-07-01,4.454762668361052,-4.860389093732011,-9.132167570968646,0.6832124826631367,-4.587961226344052,-10.800574715149118,4.708007680902481,-5.612192019268348,3.689745608282964,4.275536799750952,1.655133305997802,-0.2642344450108607,1.605893547371395,5.071280446514341,3.0702335730195305,4.091808951305678,4.702428621539964,-1.2173224392731523
2003-08-01,6.232341055744252,-2.3026124718481067,-8.365582637800543,2.222756935611409,-3.1062311742860564,-10.25518514120847,4.508312225237775,-6.682670211758668,4.145307443263118,5.09129304414557,1.8481791067727036,-0.3597810736706739,0.9261400703309528,4.68960418561206,3.6470284856047845,6.1201004957731815,4.714617459953683,-1.4677817128891606
2003-09-01,5.569284836213944,-1.3046696149295551,-8.167749644869849,4.491220885804482,-0.8848732790180991,-10.120009744614634,4.546904982338049,-6.712181616022345,5.759175788237102,6.775054158064478,3.4996035109777406,1.6393296110593853,1.7785687616550026,5.4709544253264895,3.601657047574923,5.403812091402214,3.165444343036107,-2.08256431586333
